totalPkt,totalSize,DNSpkt,httpPkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
879,434641,33,0,795,84,504,135098,375,299543,2.22,52,761,268.05,798.78,0,1420,1420,1.34,4.28,0,0.3,0.01,158.38,0.01,0.19,0.01,136.98,0.01,1
202,120477,12,0,973,24,172,107349,30,13128,0.12,250,84,624.12,437.6,0,1420,1420,5.73,13.93,0.1,2.33,0.04,1914.75,0.04,0.2,0.04,85.94,0.04,1
4,527,3,0,973,4,4,527,0,0,0,250,84,624.12,437.6,0,1420,1420,0,13.93,0.82,2.33,0.04,1914.75,0.04,0.2,0.04,85.94,0.04,1
12,1419,1,0,981,4,8,1211,4,208,0.17,52,52,151.38,52,0.01,305,52,2,18.52,0.1,0.13,0.33,0.13,0.33,0.13,0.33,0.13,0.33,1
59,5737,11,0,1022,18,48,4726,11,1011,0.21,64,52,98.46,91.91,0.01,305,539,4.36,5.53,0.1,0.56,0.06,29.85,0.06,0.04,0.06,0.04,0.06,1
61,8319,8,0,1068,15,52,7456,9,863,0.12,65,40,143.38,95.89,0.01,1136,531,5.78,10.86,0.1,0.88,0.07,106.83,0.07,0.13,0.07,3.38,0.07,1
19,3060,5,0,1075,12,18,3020,3,732,0.24,83,344,167.78,244,0.01,348,348,6,16.53,0.1,0.6,0.09,21,0.09,0.2,0.09,0.2,0.09,1
10,1431,7,0,1075,10,10,1431,0,0,0,83,344,167.78,244,0.01,348,348,0,16.53,20.38,0.6,0.09,21,0.09,0.2,0.09,0.2,0.09,1
128,60863,17,4,1180,23,86,57153,42,3710,0.06,294,52,664.57,88.33,0,1420,283,2.05,53.56,2.05,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
20,2562,9,0,1186,14,20,2562,0,0,0,294,52,664.57,88.33,0,1420,283,0,53.56,2.97,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
14,2649,7,0,1186,14,14,2649,0,0,0,294,52,664.57,88.33,0,1420,283,0,53.56,3.89,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
10,1431,7,0,1186,10,10,1431,0,0,0,294,52,664.57,88.33,0,1420,283,0,53.56,3.48,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
18,4181,6,0,1186,18,18,4181,2,692,0.17,294,52,232.28,346,0,1420,283,9,37.33,3.79,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
14,2419,8,0,1186,14,14,2419,0,0,0,294,52,232.28,346,0,1420,283,0,37.33,0.41,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
13,2575,6,0,1186,13,13,2575,0,0,0,294,52,232.28,346,0,1420,283,0,37.33,0.1,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
4,757,2,0,1186,4,4,757,0,0,0,294,52,232.28,346,0,1420,283,0,37.33,0.1,0.83,0.05,1083.35,0.05,0.4,0.05,29.15,0.05,1
54,23774,8,0,1228,12,42,17766,12,6008,0.34,74,533,423,500.67,0,1420,1420,3.5,0.01,0.02,1.79,0.09,1039.5,0.09,0.36,0.09,133.21,0.09,1
16,2650,10,0,1228,16,16,2650,2,692,0.26,74,533,165.63,346,0.01,1420,1420,8,1.46,1.46,1.79,0.09,1039.5,0.09,0.36,0.09,133.21,0.09,1
3,683,1,0,1228,3,3,683,0,0,0,74,533,165.63,346,0.01,1420,1420,0,1.46,0.2,1.79,0.09,1039.5,0.09,0.36,0.09,133.21,0.09,1
57,12007,12,0,1269,16,41,5149,16,6858,1.33,68,219,125.59,428.63,0,854,1420,2.56,18.11,0.1,0.43,0.07,71.18,0.07,0.11,0.07,52.18,0.07,1
5026,629428,33,0,6184,111,4744,401443,282,227985,0.57,52,1144,84.62,808.46,0.01,1420,1420,16.82,1.46,0.1,8.41,0.01,657.04,0.01,0.13,0.01,122.33,0.01,1
3438,2429329,26,1,3346,203,1754,203664,1684,2225665,10.93,52,1420,116.11,1321.65,0,1420,1420,1.04,0,0,0.29,0.01,43.8,0.01,0.32,0.01,439.88,0.01,1
47074,43714537,27,0,46999,278,16849,1134110,30225,42580427,37.55,64,1420,67.31,1408.78,0,1420,1420,0.56,0,0.01,0.05,0.01,4.48,0.01,0.44,0.01,626.39,0.01,1
624,254679,18,1,530,94,427,124412,197,130267,1.05,52,388,291.36,661.25,0,1420,1420,2.17,0.03,0,1.29,0.01,462.8,0.01,0.28,0.01,207.98,0.01,1
101,65061,0,0,101,94,41,5767,60,59294,10.28,52,388,140.66,988.23,0,1420,1420,0.68,0.04,0.19,0.19,0.01,20.86,0.01,0.54,0.01,558,0.01,1
14,1420,0,1,14,94,10,909,4,511,0.56,52,388,90.9,127.75,0.01,1420,1420,2.5,15.42,1,0.86,0.01,90.57,0.01,0.29,0.01,49.71,0.01,1
