totalPkt,totalSize,DNSpkt,httpPkt,httpsPkt,DHCPpkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
1045,555657,29,1,0,0,832,213,501,133905,544,421752,3.15,60,700,267.28,775.28,0,1420,1420,0.92,0.75,0.74,0.17,0,99.7,0,0.3,0,283.36,0,0
275,189232,0,0,0,0,271,217,115,30288,160,158944,5.25,52,1420,263.37,993.4,0,1420,1420,0.72,5.29,5.17,0.1,0.25,87.02,0.25,0.38,0.25,376.51,0.25,0
139,62929,2,0,0,0,137,219,79,50043,60,12886,0.26,255,60,633.46,214.77,0,1420,1420,1.32,0.13,0.13,0.47,0.5,462.21,0.5,0.32,0.5,99,0.5,0
36,2120,0,0,0,0,36,219,17,1018,19,1102,1.08,255,60,59.88,58,0.02,1420,1420,0.89,0.05,0.04,0.21,0.5,8.71,0.5,0.33,0.5,15.21,0.5,0
62,4244,2,0,0,0,58,222,38,2345,26,2083,0.89,52,52,61.71,80.12,0.01,106,535,1.46,1.93,0.43,0.33,0.33,17.25,0.33,0.15,0.33,6.22,0.33,0
59,15583,2,0,0,0,57,224,31,4491,28,11092,2.47,56,264,144.87,396.14,0,1270,1420,1.11,0.1,0,0.26,0.5,28.76,0.5,0.26,0.5,106.47,0.5,0
19,1650,0,0,0,2,17,226,10,1206,11,1136,0.94,73,52,120.6,103.27,0.01,348,348,0.91,0,0,0.14,0.5,3.79,0.5,0.14,0.5,3.79,0.5,0
15,2784,0,0,0,0,15,226,8,554,7,2230,4.03,73,52,69.25,318.57,0.01,348,348,1.14,0.1,0,0.15,0.5,7.54,0.5,0.08,0.5,0.08,0.5,0
11,603,0,0,0,0,11,226,7,407,4,196,0.48,73,52,58.14,49,0.02,348,348,1.75,0,0,0.38,0.5,13.13,0.5,0.13,0.5,0.13,0.5,0
156,58215,13,0,0,0,95,287,82,18070,74,40145,2.22,61,328,220.37,542.5,0,1378,1420,1.11,0.02,0,0.06,0.02,13.04,0.02,0.11,0.02,50.61,0.02,0
9,1131,0,0,0,2,102,2,5,860,6,963,1.12,206,52,172,160.5,0.01,348,348,0.83,0.01,0.01,0.17,1,0.17,1,0.33,1,8.83,1,0
10,602,0,0,0,0,10,2,6,343,4,259,0.76,206,52,57.17,64.75,0.02,348,348,1.5,0,0,0.43,1,15,1,0.14,1,0.14,1,0
4,227,0,0,0,0,4,2,3,187,1,40,0.21,206,52,62.33,40,0.02,348,348,3,0.1,0,1,1,26.5,1,0.5,1,0.5,1,0
2,692,0,0,0,2,4,2,2,692,2,692,1,206,52,346,346,0,348,348,1,0.02,0.02,1,1,26.5,1,0.5,1,0.5,1,0
