totalPkt,totalSize,DNSpkt,httpPkt,httpsPkt,DHCPpkt,TCPPkt,UDPPkt,inPkt,inByte,outPKT,outByte,ratioInOut,medianIn,medianOut,avgIn,avgOut,avgTotal,maxOutSize,maxInSize,rationNumInOut,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,result
989,985782,15,0,0,0,965,24,306,28226,685,957860,33.94,52,1470,92.24,1398.34,0,1722,7142,0.45,0.04,0,0.82,0.04,83.57,0.04,2.58,0.04,3928.68,0.04,0
112,31036,10,0,0,0,98,38,62,10547,56,21298,2.02,52,86.5,170.11,380.32,0,1663,3678,1.11,0.25,0.57,0.33,0.07,103.03,0.07,0.32,0.07,267.88,0.07,0
1437,830979,42,0,0,0,1357,118,686,97206,792,743842,7.65,52,1169.5,141.7,939.19,0,1500,5724,0.87,0.01,0.19,0.48,0.01,82.43,0.01,0.74,0.01,1006.97,0.01,0
359,84847,18,0,0,0,332,145,203,33776,163,51993,1.54,52,60,166.38,318.98,0,1500,4148,1.25,0.04,0.04,0.4,0.04,100.41,0.04,0.28,0.04,178.63,0.04,0
520,408838,15,0,0,0,496,169,192,20105,336,389473,19.37,52,1470,104.71,1159.15,0,1113,4306,0.57,0.08,0.11,0.55,0.04,72.98,0.04,1.44,0.04,2046.84,0.04,0
207,44280,14,0,0,0,681,22,107,14993,102,29521,1.97,52,83,140.12,289.42,0,1746,1549,1.05,0.04,0.04,0.11,0.05,17,0.05,0.12,0.05,62.79,0.05,0
631,623424,10,0,0,0,1298,14,176,11718,457,611872,52.22,52,1470,66.58,1338.89,0,792,3597,0.39,0.04,0.04,0.79,0.08,58.36,0.08,2.97,0.08,4282.79,0.08,0
87,19860,13,0,0,0,65,36,49,7573,39,12327,1.63,60,89,154.55,316.08,0,1500,3621,1.26,0.03,1.02,0.47,0.05,138.42,0.05,0.26,0.05,226.03,0.05,0
731,691085,11,0,0,0,715,52,244,20000,489,671267,33.56,52,1470,81.97,1372.73,0,1733,5724,0.5,0.05,0,1.02,0.06,88.84,0.06,2.63,0.06,4009.48,0.06,0
308,105444,18,0,0,0,276,84,164,31399,183,83956,2.67,60,103,191.46,458.78,0,2215,3982,0.9,1.18,0,0.22,0.03,76.79,0.03,0.39,0.03,347.21,0.03,0
